incident_id,report_year,state,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,rainfall_mm,type_of_event,casualty,computed_severity,source,slide_id
278,2021,Nagaland,,Pungro-Mini landslide,Pungro-Wim axis near Longktimong vlage,,25.7623,94.880047,2021-08-17,85.0,2.0,0.0,0.65,Onine Meda,Onine Meda/2021/Nagaland/
279,2021,Nagaland,Tuensang,Chedang Saddle Landslide,Chendang Sadie and Nokak,,26.222588,94.939409,2021-09-08,85.0,2.0,0.0,0.65,Onine Meda,Onine Meda/2021/Nagaland/
280,2021,Nagaland,Tuensang,WensoiLandsice,Wensoi Vilage,,26.250081,95.061802,2021-11-08,12.0,2.0,0.0,0.65,Online Media,Online Media/2021/Nagaland/50
281,2021,Nagaland,Phek,Phusero-Lanye Landside,-,,25.722468,94.402348,2023-07-19,85.0,3.0,0.0,0.85,Newspaper,Newspaper/2021/Nagaland/
282,2021,Nagaland,Phek,Pfutsere-Khomi-Phek landslide,-,,22.659725,94.409807,2023-07-19,85.0,3.0,0.0,0.85,Newspaper,Newspaper/2021/Nagaland/48
283,2021,Nagaland,, Landslide,Kukidlong,,25.772509,94.808,2021-02-17,12.0,3.0,0.0,0.85,Onine Meds,Onine Meds/2021/Nagaland/
284,2023,Nagaland,Chümoukedima,Pakala Pahar landslide,near Chümoukedima police post,NH 29,25.798326,93.797729,2023-07-04,84.62,2.0,2.0,0.75,Newspapers & Media,Newspapers & Media/2023/Nagaland/39
285,2023,Nagaland,Noklak,Choklangan Landslide,Choklangan village in Noklak district,--,26.106224,95.080945,2023-07-09,56.88,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/42
286,2023,Nagaland,Noklak,Wonthai Landslide,Wonthai area,--,26.197297,95.020282,2023-07-09,56.56,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/43
287,2023,Nagaland,Noklak,Ehoukeh King,"Ehoukeh King, Choklangan",--,26.199008,95.015413,2023-07-09,56.56,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/44
288,2023,Nagaland,Peren,Iron bridge landslide,Peren-Maram road,NH-129A,25.529813,93.76566,2023-07-10,4.89,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/45
289,2023,Nagaland,Kiphire,Kiphire Landslide,Shamator Kiphire Road Section,NH 202,25.994082,94.85535,2023-07-16,175.99,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/51
290,2023,Nagaland,Kohima,Meriema Landslide,Meriema area,--,25.709988,94.047805,2023-07-17,47.46,2.0,1.0,0.7,Newspapers & Media,Newspapers & Media/2023/Nagaland/52
291,2023,Nagaland,Kiphire,Kiphire Town Landslide,Road leading to Pungro town from Kiphire,NH 202,25.876143,94.784753,2023-08-09,146.65,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/60
292,2023,Nagaland,Kiphire,Mimi Landslide,Indo-Myanmar Border area around,--,25.708869,94.906812,2023-08-25,7.49,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/71
293,2023,Nagaland,Mokokchung,Noklangsangba Landslide,Noklangsangba Government High School,--,26.653847,94.51346,2023-08-27,8.06,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Nagaland/76
294,2025,Nagaland,Zunheboto,"DIET, Zunheboto Landslide",South point east colony,,26.006772,94.521634,2024-07-01,32.2,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/103
295,2025,Nagaland,Tuensang,Tuensang Landslide,TuensangMoko kchung Road,NH 202,26.223056,94.800348,2024-07-02,122.05,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/99
296,2025,Nagaland,Kiphire,Shishimi Landslide,Shishimi Village Area,,25.816009,94.616317,2024-07-02,301.5,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/102
297,2025,Nagaland,Tuensang,K.Wongthu Landslide,Kuthur Village,,26.185832,94.841673,2024-07-03,17.91,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Nagaland/104
298,2025,Nagaland,Chumoukedima,Pherima Landslide,Between Pherima and Paglapahar,NH 29,25.773953,93.913722,2024-09-03,33.41,3.0,6.0,1.0,Newspapers & Media,Newspapers & Media/2024/Nagaland/174
299,2025,Nagaland,Kohima,Dzüü Landslide,Just before Dzüü bridge,,25.671317,94.18373,2024-08-04,0.4,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Nagaland/149
